Country,Year,Happiness
Trinidad and Tobago,2020,6.191899776
Poland,2020,6.186299801
Colombia,2020,6.163400173
Cyprus,2020,6.15899992
Nicaragua,2020,6.13710022
Romania,2020,6.123700142
Kuwait,2020,6.102099895
Mauritius,2020,6.101299763
Kazakhstan,2020,6.057899952
Estonia,2020,6.021800041
Philippines,2020,6.006000042
Hungary,2020,6.000400066
Thailand,2020,5.998799801
Argentina,2020,5.974699974
Honduras,2020,5.953199863
Latvia,2020,5.949999809
Ecuador,2020,5.925199986
Portugal,2020,5.910900116
Jamaica,2020,5.889800072
South Korea,2020,5.872399807
Japan,2020,5.870800018
Peru,2020,5.796800137
Serbia,2020,5.77820015
Bolivia,2020,5.747499943
Pakistan,2020,5.69329977
Paraguay,2020,5.692100048
Dominican Republic,2020,5.689199924
Bosnia and Herzegovina,2020,5.674099922
Moldova,2020,5.607500076
Tajikistan,2020,5.555699825
Montenegro,2020,5.54610014
Russia,2020,5.546000004
Kyrgyzstan,2020,5.541500092
Belarus,2020,5.539899826
North Cyprus,2020,5.53550005
Greece,2020,5.514999866
Hong Kong S.A.R. of China,2020,5.510399818
Croatia,2020,5.504700184
Libya,2020,5.488800049
Mongolia,2020,5.456200123
Malaysia,2020,5.384300232
Vietnam,2020,5.353499889
Indonesia,2020,5.285600185
Ivory Coast,2020,5.233300209
Benin,2020,5.21600008
Maldives,2020,5.197599888
Congo (Brazzaville),2020,5.194399834
Azerbaijan,2020,5.164800167
Macedonia,2020,5.159800053
Ghana,2020,5.147999763
Nepal,2020,5.137199879
Turkey,2020,5.131800175
China,2020,5.123899937
Turkmenistan,2020,5.119100094
Bulgaria,2020,5.101500034
Morocco,2020,5.094799995
Cameroon,2020,5.084899902
Venezuela,2020,5.053199768
Algeria,2020,5.005099773
Senegal,2020,4.980800152
Guinea,2020,4.949299812
Niger,2020,4.909599781
Laos,2020,4.888599873
Albania,2020,4.882699966
Cambodia,2020,4.848400116
Bangladesh,2020,4.832799911
Gabon,2020,4.829299927
South Africa,2020,4.814099789
Iraq,2020,4.784800053
Lebanon,2020,4.771500111
Burkina Faso,2020,4.768700123
Gambia,2020,4.750599861
Mali,2020,4.729300022
Nigeria,2020,4.724100113
Armenia,2020,4.676799774
Georgia,2020,4.672599792
Iran,2020,4.672399998
Jordan,2020,4.633399963
Mozambique,2020,4.623600006
Kenya,2020,4.583000183
Namibia,2020,4.571100235
Ukraine,2020,4.56069994
Liberia,2020,4.557899952
Palestinian Territories,2020,4.552800179
Uganda,2020,4.43200016
Chad,2020,4.422699928
Tunisia,2020,4.392199993
Mauritania,2020,4.374599934
Sri Lanka,2020,4.327000141
Congo (Kinshasa),2020,4.31099987
Swaziland,2020,4.308100224
Myanmar,2020,4.308000088
Comoros,2020,4.288599968
Togo,2020,4.187200069
Ethiopia,2020,4.186200142
Madagascar,2020,4.165599823
Egypt,2020,4.151400089
Sierra Leone,2020,3.926399946
Burundi,2020,3.775300026
Zambia,2020,3.759399891
Haiti,2020,3.720799923
Lesotho,2020,3.652800083
India,2020,3.573299885
Malawi,2020,3.538000107
Yemen,2020,3.527400017
Botswana,2020,3.478899956
Tanzania,2020,3.476200104
Central African Republic,2020,3.475899935
Rwanda,2020,3.312299967
Zimbabwe,2020,3.299200058
South Sudan,2020,2.816600084
Afghanistan,2020,2.566900015
